SHOP_URL,GOODS_NAME,GOODS_URL,SHOP_NAME,COMPANY_NAME,COMPANY_ADDRESS,GOODS_PRICE
//rate.taobao.com/user-rate-UvFc0vG84vGNGvNTT.htm,短袖t恤女体恤2017新款半袖大码纯棉修身夏装上衣女装百搭宽松潮,http://detail.tmall.com/item.htm?id=528500098931&skuId=3146062699341&user_id=1743583030&cat_id=50025135&is_b=1&rn=48ee6fe027c04a095c1c4c9dd76dd91c,秀姿爽服饰旗舰店,,"湖北,  武汉",59.00
//rate.taobao.com/user-rate-UvCQLvm8GMmQSvNTT.htm,2017新款韩版高腰毛边破洞牛仔短裤女夏季宽松显瘦浅色阔腿热裤潮,http://detail.tmall.com/item.htm?id=550441378560&skuId=3354554133406&user_id=2460534490&cat_id=50025135&is_b=1&rn=48ee6fe027c04a095c1c4c9dd76dd91c,vekees服饰旗舰店,,"广东省,  广州市",49.00
//rate.taobao.com/user-rate-UvCxGOmHuOF8u.htm,韩都衣舍2017夏装新款女装宽松潮V领破洞镂空字母短袖T恤NJ6760翝,http://detail.tmall.com/item.htm?id=545029694245&skuId=3286075233599&user_id=263817957&cat_id=50025135&is_b=1&rn=48ee6fe027c04a095c1c4c9dd76dd91c,韩都衣舍旗舰店,,"山东,  济南",72.00
//rate.taobao.com/user-rate-UvCNSMGI0MCkyvWTT.htm,白色短袖衬衫女夏季修身显瘦V领职业工装白衬衣正装工作服棉寸衫,http://detail.tmall.com/item.htm?id=530208340294&skuId=3157437970151&user_id=2097246923&cat_id=50025135&is_b=1&rn=48ee6fe027c04a095c1c4c9dd76dd91c,十木禾女装旗舰店,,",  广州市",69.00
//rate.taobao.com/user-rate-UvCk0MFQ0MmcWvWTT.htm,奶奶装夏装套装60-70岁80妈妈老人衣服中老年人女装短袖太太上衣,http://detail.tmall.com/item.htm?id=548603021785&skuId=3516987671101&user_id=2945444703&cat_id=50025135&is_b=1&rn=48ee6fe027c04a095c1c4c9dd76dd91c,筱芙旗舰店,"江苏,  苏州",,98.00
//rate.taobao.com/user-rate-UvCkbMF84vGgLvWTT.htm,可爱背带短裤女夏2017新款韩版宽松学生原宿牛仔森女小清新背带裤,http://detail.tmall.com/item.htm?id=551880702253&skuId=3540646539113&user_id=2955583863&cat_id=50025135&is_b=1&rn=48ee6fe027c04a095c1c4c9dd76dd91c,初希旗舰店,北京,,69.00
//rate.taobao.com/user-rate-UMGxYMCcSMFI0.htm,初语夏装新款竹节棉圆领纯色短袖T恤女纯棉百搭打底上衣基础款,http://detail.tmall.com/item.htm?id=544494444209&skuId=3445685839118&user_id=761679524&cat_id=50025135&is_b=1&rn=48ee6fe027c04a095c1c4c9dd76dd91c,初语旗舰店,,"广东,  广州",78.00
//rate.taobao.com/user-rate-UvCk0MCHYvmNWMWTT.htm,白色T恤女纯棉宽松2017新款夏季短袖百搭学生韩版体恤圆领红色潮,http://detail.tmall.com/item.htm?id=552201583103&skuId=4611686570628971007&user_id=2946110007&cat_id=50025135&is_b=1&rn=48ee6fe027c04a095c1c4c9dd76dd91c,恒芙妮旗舰店,,,59.00
//rate.taobao.com/user-rate-UvGNYvC8uOF8SOQTT.htm,韩版高腰显瘦百褶雪纺阔腿裤女裤春夏季九分学生显瘦七分褶皱裙裤,http://detail.tmall.com/item.htm?id=550903048264&skuId=3393323164099&user_id=3012579599&cat_id=50025135&is_b=1&rn=48ee6fe027c04a095c1c4c9dd76dd91c,云美莎服饰旗舰店,,,59.90
//rate.taobao.com/user-rate-UvFkLOFkGOFvb.htm,女装 宽松花式POLO衫(短袖) 188203 优衣库UNIQLO,http://detail.tmall.com/item.htm?id=548104225475&skuId=3324006273109&user_id=196993935&cat_id=50025135&is_b=1&rn=48ee6fe027c04a095c1c4c9dd76dd91c,优衣库官方旗舰店,,上海,99.00
//rate.taobao.com/user-rate-UvGHLMGNuvCcSvQTT.htm,碎花雪纺衫女短袖2017夏季新款女装木耳领喇叭袖上衣柔美雪纺衬衫,http://detail.tmall.com/item.htm?id=547815465046&skuId=3333205805211&user_id=3167072791&cat_id=50025135&is_b=1&rn=48ee6fe027c04a095c1c4c9dd76dd91c,皇倩儿旗舰店,,,49.00
//rate.taobao.com/user-rate-UvCxGOmHuOF8u.htm,韩都衣舍2017韩版女装夏装新款纽扣牛仔裙短裙A字半身裙LZ5105烎,http://detail.tmall.com/item.htm?id=527025034469&skuId=3135651259410&user_id=263817957&cat_id=50025135&is_b=1&rn=48ee6fe027c04a095c1c4c9dd76dd91c,韩都衣舍旗舰店,,"山东,  济南",88.00
//rate.taobao.com/user-rate-UMGg0OFHuvGIb.htm,高腰a字短裤女夏2017新款宽松显瘦大码百搭休闲阔腿西装短裤裙,http://detail.tmall.com/item.htm?id=549498638021&skuId=3505393390066&user_id=784917325&cat_id=50025135&is_b=1&rn=48ee6fe027c04a095c1c4c9dd76dd91c,帛俪唯真旗舰店,,"浙江,  温州",69.00
//rate.taobao.com/user-rate-UMFHGvm8YMmIS.htm,乐町2017夏装新款女装潮宽松白色短袖T恤女夏韩版系带蝴蝶结上衣,http://detail.tmall.com/item.htm?id=547728658058&skuId=3318904993176&user_id=513051429&cat_id=50025135&is_b=1&rn=48ee6fe027c04a095c1c4c9dd76dd91c,乐町官方旗舰店,,"浙江,  宁波",149.00
//rate.taobao.com/user-rate-UvFkLOFkGOFvb.htm,女装 乔其纱荷叶袖衬衫 189625 优衣库UNIQLO,http://detail.tmall.com/item.htm?id=548119178008&skuId=3323591312674&user_id=196993935&cat_id=50025135&is_b=1&rn=48ee6fe027c04a095c1c4c9dd76dd91c,优衣库官方旗舰店,,上海,149.00
//rate.taobao.com/user-rate-UvFHYMFgLMGv4MQTT.htm,破洞牛仔短裤女高腰宽松2017夏新款韩版显瘦流苏毛边学生阔腿热裤,http://detail.tmall.com/item.htm?id=549680303336&skuId=3343019888760&user_id=1115867385&cat_id=50025135&is_b=1&rn=48ee6fe027c04a095c1c4c9dd76dd91c,可奈丽莎旗舰店,,"广东省,  东莞市",69.00
//rate.taobao.com/user-rate-UMCkSvGISMmcG.htm,梦舒雅2017夏季新款薄款牛仔裤时尚小脚毛边女裤显瘦九分铅笔裤女,http://detail.tmall.com/item.htm?id=546660504859&skuId=3305873096017&user_id=699329473&cat_id=50025135&is_b=1&rn=48ee6fe027c04a095c1c4c9dd76dd91c,梦舒雅服饰旗舰店,,"河南,  郑州",159.00
//rate.taobao.com/user-rate-UvFN0MmgGvFQSvQTT.htm,2017夏新款波西米亚V领雪纺无袖连衣裙沙滩高腰收腰显瘦大摆长裙,http://detail.tmall.com/item.htm?id=532616890033&skuId=3176885329371&user_id=1044831491&cat_id=50025135&is_b=1&rn=48ee6fe027c04a095c1c4c9dd76dd91c,杉宁旗舰店,,"浙江省,  金华市",69.00
//rate.taobao.com/user-rate-UvCgYvmxLOm8G.htm,艾米恋雪纺阔腿裤女夏七分高腰黑色夏季松紧腰 7分雪纺裤休闲女裤,http://detail.tmall.com/item.htm?id=546029835379&skuId=3297571261911&user_id=281066853&cat_id=50025135&is_b=1&rn=48ee6fe027c04a095c1c4c9dd76dd91c,艾米恋旗舰店,,"广东,  汕头",69.00
//rate.taobao.com/user-rate-UvFgyOFQbOmcLMWTT.htm,衣梵儿阔腿短裤女2017春夏新款a字裤热裤宽松白条休闲运动短裤女,http://detail.tmall.com/item.htm?id=547220744195&skuId=3312876124186&user_id=1829458767&cat_id=50025135&is_b=1&rn=48ee6fe027c04a095c1c4c9dd76dd91c,衣梵儿旗舰店,,"浙江省,  金华市",69.00
//rate.taobao.com/user-rate-UvGN4vFIbOFc0MWTT.htm,2017夏季新款韩版宽松雪纺衫衬衫女士防晒学生短袖韩范白职业衬衣,http://detail.tmall.com/item.htm?id=549679038137&skuId=3508163227574&user_id=3081259747&cat_id=50025135&is_b=1&rn=48ee6fe027c04a095c1c4c9dd76dd91c,茵姿妙旗舰店,,,49.00
//rate.taobao.com/user-rate-UvFcbvmNSOmgyMNTT.htm,卡玛娅2017新款夏装女装修身圆领短袖T恤女紧身半袖显瘦体恤8750,http://detail.tmall.com/item.htm?id=532231856761&skuId=3174717387918&user_id=1750098824&cat_id=50025135&is_b=1&rn=48ee6fe027c04a095c1c4c9dd76dd91c,卡玛娅旗舰店,,"广东,  广州",59.00
//rate.taobao.com/user-rate-UMGQbOF8uOm8W.htm,夏季薄款新款中腰微喇叭裤女韩版蕾丝阔腿修身显瘦黑色大码九分裤,http://detail.tmall.com/item.htm?id=549978459536&skuId=3511589990714&user_id=745957850&cat_id=50025135&is_b=1&rn=48ee6fe027c04a095c1c4c9dd76dd91c,魔黛娅内衣旗舰店,,"浙江,  金华",69.90
//rate.taobao.com/user-rate-UvCk0vCvyOmg4MNTT.htm,2017夏装雪纺袍连衣裙碎花中长款显瘦收腰短袖A字裙大摆裙韩版女,http://detail.tmall.com/item.htm?id=551188070318&skuId=3530277451012&user_id=2942328884&cat_id=50025135&is_b=1&rn=48ee6fe027c04a095c1c4c9dd76dd91c,野缇旗舰店,,,188.00
//rate.taobao.com/user-rate-UvFHYMFgLMGv4MQTT.htm,2017春季新款牛仔裙半身裙女夏高腰韩版百搭大码包臀短裙a字裙子,http://detail.tmall.com/item.htm?id=530645530790&skuId=3331674377374&user_id=1115867385&cat_id=50025135&is_b=1&rn=48ee6fe027c04a095c1c4c9dd76dd91c,可奈丽莎旗舰店,,"广东省,  东莞市",59.90
//rate.taobao.com/user-rate-UvCkLOF8YvmNLONTT.htm,中年妈妈装夏装雪纺衫30中老年女装2017新款中袖t恤40岁上衣套装,http://detail.tmall.com/item.htm?id=548327808988&skuId=3491532014738&user_id=2969510068&cat_id=50025135&is_b=1&rn=48ee6fe027c04a095c1c4c9dd76dd91c,花惠羽旗舰店,,,79.00
